Ticker,Gemini,Coinbase,Kraken,Cryptodotcom,Kucoin
DAIUSDT,0,0,1,0,0
USDTUSD,0,0,1,0,0
ETHUSD,0,0,1,0,0
ADAUSD,0,0,1,0,0
DOGEUSD,0,0,1,0,0
LINKUSD,0,0,1,0,0
1INCHUSD,0,0,1,0,0
AIRUSD,0,0,1,0,0
ALGOUSD,0,0,1,0,0
USDCUSD,0,0,1,0,0
BCHUSD,0,0,1,0,0
DOTUSD,0,0,1,0,0
LTCUSD,0,0,1,0,0
AAVEUSD,0,0,1,0,0
AKTUSD,0,0,1,0,0
ALICEUSD,0,0,1,0,0
APEUSD,0,0,1,0,0
BTCUSD,0,0,1,0,0
USTUSD,0,0,1,0,0
DAIUSD,0,0,1,0,0
EOSUSD,0,0,1,0,0
XRPUSD,0,0,1,0,0
ACAUSD,0,0,1,0,0
ALCXUSD,0,0,1,0,0
ANKRUSD,0,0,1,0,0
ASTRUSD,0,0,1,0,0
AUDUSD,0,0,1,0,0
ANTUSD,0,0,1,0,0
ATLASUSD,0,0,1,0,0
AUDIOUSD,0,0,1,0,0
BADGERUSD,0,0,1,0,0
BATUSD,0,0,1,0,0
COMPUSD,0,0,1,0,0
CTSIUSD,0,0,1,0,0
DYDXUSD,0,0,1,0,0
ETCUSD,0,0,1,0,0
FIDAUSD,0,0,1,0,0
FXSUSD,0,0,1,0,0
GHSTUSD,0,0,1,0,0
ATOMUSD,0,0,1,0,0
AVAXUSD,0,0,1,0,0
BALUSD,0,0,1,0,0
BONDUSD,0,0,1,0,0
CQTUSD,0,0,1,0,0
CVXUSD,0,0,1,0,0
ENJUSD,0,0,1,0,0
EURUSD,0,0,1,0,0
FILUSD,0,0,1,0,0
GALAUSD,0,0,1,0,0
GLMRUSD,0,0,1,0,0
AXSUSD,0,0,1,0,0
BANDUSD,0,0,1,0,0
BNCUSD,0,0,1,0,0
CHZUSD,0,0,1,0,0
CRVUSD,0,0,1,0,0
DASHUSD,0,0,1,0,0
ENSUSD,0,0,1,0,0
EWTUSD,0,0,1,0,0
FLOWUSD,0,0,1,0,0
GBPUSD,0,0,1,0,0
GNOUSD,0,0,1,0,0
ICXUSD,0,0,1,0,0
GRTUSD,0,0,1,0,0
IMXUSD,0,0,1,0,0
KARUSD,0,0,1,0,0
KILTUSD,0,0,1,0,0
KNCUSD,0,0,1,0,0
LPTUSD,0,0,1,0,0
LUNAUSD,0,0,1,0,0
MATICUSD,0,0,1,0,0
MIRUSD,0,0,1,0,0
MNGOUSD,0,0,1,0,0
NANOUSD,0,0,1,0,0
OMGUSD,0,0,1,0,0
ICPUSD,0,0,1,0,0
INJUSD,0,0,1,0,0
KAVAUSD,0,0,1,0,0
KINUSD,0,0,1,0,0
KP3RUSD,0,0,1,0,0
LRCUSD,0,0,1,0,0
MANAUSD,0,0,1,0,0
MCUSD,0,0,1,0,0
MKRUSD,0,0,1,0,0
MOVRUSD,0,0,1,0,0
OCEANUSD,0,0,1,0,0
ORCAUSD,0,0,1,0,0
PAXGUSD,0,0,1,0,0
JASMYUSD,0,0,1,0,0
KEEPUSD,0,0,1,0,0
KINTUSD,0,0,1,0,0
KSMUSD,0,0,1,0,0
LSKUSD,0,0,1,0,0
MASKUSD,0,0,1,0,0
MINAUSD,0,0,1,0,0
MLNUSD,0,0,1,0,0
MULTIUSD,0,0,1,0,0
OGNUSD,0,0,1,0,0
OXTUSD,0,0,1,0,0
PERPUSD,0,0,1,0,0
OMGUSD,0,0,1,0,0
OXYUSD,0,0,1,0,0
PHAUSD,0,0,1,0,0
POWRUSD,0,0,1,0,0
QTUMUSD,0,0,1,0,0
RAYUSD,0,0,1,0,0
REPUSD,0,0,1,0,0
SANDUSD,0,0,1,0,0
SCRTUSD,0,0,1,0,0
SHIBUSD,0,0,1,0,0
SPELLUSD,0,0,1,0,0
STORJUSD,0,0,1,0,0
TOKEUSD,0,0,1,0,0
PLAUSD,0,0,1,0,0
PSTAKEUSD,0,0,1,0,0
RAREUSD,0,0,1,0,0
RBCUSD,0,0,1,0,0
REPV2USD,0,0,1,0,0
SBRUSD,0,0,1,0,0
SDNUSD,0,0,1,0,0
SNXUSD,0,0,1,0,0
SRMUSD,0,0,1,0,0
SUSHIUSD,0,0,1,0,0
TRIBEUSD,0,0,1,0,0
POLISUSD,0,0,1,0,0
QNTUSD,0,0,1,0,0
RARIUSD,0,0,1,0,0
RENUSD,0,0,1,0,0
RNDRUSD,0,0,1,0,0
SCRTUSD,0,0,1,0,0
SGBUSD,0,0,1,0,0
SOLUSD,0,0,1,0,0
STEPUSD,0,0,1,0,0
TBTCUSD,0,0,1,0,0
TRXUSD,0,0,1,0,0
WAVESUSD,0,0,1,0,0
TOKEUSD,0,0,1,0,0
UMAUSD,0,0,1,0,0
WBTCUSD,0,0,1,0,0
XMRUSD,0,0,1,0,0
YFIUSD,0,0,1,0,0
ZRXUSD,0,0,1,0,0
UNIUSD,0,0,1,0,0
WOOUSD,0,0,1,0,0
XRTUSD,0,0,1,0,0
YGGUSD,0,0,1,0,0
XLMUSD,0,0,1,0,0
XTZUSD,0,0,1,0,0
ZECUSD,0,0,1,0,0
ETHUSDT,0,0,0,1,0
CROUSDT,0,0,0,1,0
AAVEUSDT,0,0,0,1,0
ALPHAUSDT,0,0,0,1,0
BTCUSDT,0,0,0,1,0
ALICEUSDT,0,0,0,1,0
AGLDUSDT,0,0,0,1,0
ALIUSDT,0,0,0,1,0
ALGOUSDT,0,0,0,1,0
AMPUSDT,0,0,0,1,0
ADAUSDT,0,0,0,1,0
1INCHUSDT,0,0,0,1,0
AERGOUSDT,0,0,0,1,0
BANDUSDT,0,0,0,1,0
GRTUSDT,0,0,0,1,0
GTCUSDT,0,0,0,1,0
ICXUSDT,0,0,0,1,0
JOEUSDT,0,0,0,1,0
CHZUSDT,0,0,0,1,0
CKBUSDT,0,0,0,1,0
ERNUSDT,0,0,0,1,0
ATOMUSDT,0,0,0,1,0
APEUSDT,0,0,0,1,0
AUTOUSDT,0,0,0,1,0
AXSUSDT,0,0,0,1,0
BALUSDT,0,0,0,1,0
BATUSDT,0,0,0,1,0
BIFIUSDT,0,0,0,1,0
BCHUSDT,0,0,0,1,0
CELRUSDT,0,0,0,1,0
CTSIUSDT,0,0,0,1,0
DARUSDT,0,0,0,1,0
DIAUSDT,0,0,0,1,0
EFIUSDT,0,0,0,1,0
DYDXUSDT,0,0,0,1,0
ETCUSDT,0,0,0,1,0
FLOWUSDT,0,0,0,1,0
HNTUSDT,0,0,0,1,0
HODUSDT,0,0,0,1,0
HBARUSDT,0,0,0,1,0
HOTUSDT,0,0,0,1,0
ICPUSDT,0,0,0,1,0
IMXUSDT,0,0,0,1,0
C98USDT,0,0,0,1,0
BNTUSDT,0,0,0,1,0
BRZUSDT,0,0,0,1,0
CQTUSDT,0,0,0,1,0
DERCUSDT,0,0,0,1,0
FILUSDT,0,0,0,1,0
GODSUSDT,0,0,0,1,0
INJUSDT,0,0,0,1,0
JASMYUSDT,0,0,0,1,0
CSPRUSDT,0,0,0,1,0
ANKRUSDT,0,0,0,1,0
ANYUSDT,0,0,0,1,0
API3USDT,0,0,0,1,0
AUDIOUSDT,0,0,0,1,0
AVAXUSDT,0,0,0,1,0
BADGERUSDT,0,0,0,1,0
BICOUSDT,0,0,0,1,0
BOSONUSDT,0,0,0,1,0
CHRUSDT,0,0,0,1,0
COMPUSDT,0,0,0,1,0
CRVUSDT,0,0,0,1,0
CVXUSDT,0,0,0,1,0
DAIUSDT,0,0,0,1,0
DOGEUSDT,0,0,0,1,0
DOTUSDT,0,0,0,1,0
ELONUSDT,0,0,0,1,0
EGLDUSDT,0,0,0,1,0
ENJUSDT,0,0,0,1,0
ENSUSDT,0,0,0,1,0
EOSUSDT,0,0,0,1,0
EPSUSDT,0,0,0,1,0
FETUSDT,0,0,0,1,0
FORTHUSDT,0,0,0,1,0
FTMUSDT,0,0,0,1,0
GALAUSDT,0,0,0,1,0
GLMUSDT,0,0,0,1,0
IOTXUSDT,0,0,0,1,0
IQUSDT,0,0,0,1,0
KAVAUSDT,0,0,0,1,0
KNCUSDT,0,0,0,1,0
KLAYUSDT,0,0,0,1,0
KSMUSDT,0,0,0,1,0
